trade_id,trade_ts,user_id,session_id,notional_usd,fee_usd
55,2025-12-22 06:43:39.746927092,45,285,96.47,0.1736
56,2026-01-21 04:27:19.597115425,46,289,115.65,0.2082
57,2025-11-17 18:08:41.080100554,47,290,20.58,0.037
58,2026-01-04 01:42:57.385974921,47,292,915.73,1.6483
59,2025-12-29 00:55:51.367598681,47,293,90.32,0.1626
60,2026-01-01 15:05:01.381660520,47,296,70.7,0.1273
61,2026-01-17 05:14:21.947209472,50,310,101.69,0.183
62,2026-01-24 19:43:16.166080848,52,316,122.16,0.2199
63,2026-01-07 22:30:58.897436118,53,321,29.3,0.0527
64,2026-01-02 09:10:04.317317561,53,324,5.05,0.0091
65,2025-11-04 01:30:49.980937728,54,331,68.65,0.1236
66,2026-01-21 18:31:32.034612174,54,336,280.8,0.5054
67,2025-10-03 11:30:23.626146060,54,338,296.71,0.5341
68,2026-01-13 09:31:05.133189802,55,340,57.36,0.1032
69,2026-01-16 12:22:36.196345961,55,341,11.69,0.021
70,2025-12-14 01:58:00.282676132,56,343,719.12,1.2944
71,2025-12-06 08:18:27.541594446,56,346,649.85,1.1697
72,2025-11-06 18:36:50.607094288,57,350,1488.95,2.6801
73,2025-11-26 02:09:18.024428472,57,352,141.05,0.2539
74,2025-10-27 19:11:51.124834996,58,355,524.04,0.9433
75,2025-12-13 17:33:35.393288220,59,357,120.38,0.2167
76,2026-01-27 13:49:28.637128660,59,359,253.48,0.4563
77,2026-01-22 04:54:09.472656832,60,365,29.63,0.0533
78,2026-01-04 17:07:50.932394708,60,366,89.41,0.1609
79,2025-12-19 18:34:11.166554456,60,367,182.63,0.3287
80,2025-12-11 20:42:34.163279423,60,369,225.87,0.4066
81,2025-12-23 03:42:10.916114866,60,370,319.21,0.5746
82,2025-12-15 09:07:46.593698944,62,375,237.36,0.4272
83,2026-01-12 04:46:28.586661102,63,383,206.94,0.3725
84,2026-01-21 22:17:04.669108350,63,388,4305.78,7.7504
85,2025-12-12 09:00:37.492235358,65,400,446.76,0.8042
86,2026-01-02 02:31:29.157963394,65,401,69.22,0.1246
87,2026-01-24 02:36:14.279634350,65,404,166.34,0.2994
88,2026-01-23 16:15:57.678645305,66,408,180.41,0.3247
89,2026-01-22 08:17:40.705486854,68,421,127.02,0.2286
90,2026-01-05 02:46:30.219090080,68,427,37.21,0.067
91,2025-12-03 11:05:23.201736432,69,433,1256.84,2.2623
92,2025-12-25 08:35:35.925837603,70,441,163.42,0.2942
93,2026-01-23 07:05:20.018349709,71,447,48.05,0.0865
94,2025-12-31 13:20:37.891249621,71,451,70.11,0.1262
95,2026-01-07 18:59:11.558745101,71,452,226.39,0.4075
96,2026-01-12 15:51:01.108118994,72,459,11.84,0.0213
97,2026-01-20 14:41:53.833414496,73,465,102.62,0.1847
98,2026-01-17 22:33:00.532700850,74,473,69.48,0.1251
99,2025-12-16 18:37:46.395208046,75,479,120.62,0.2171
100,2025-11-27 22:20:33.310105638,79,506,499.21,0.8986
101,2026-01-01 20:19:38.607925302,81,518,793.02,1.4274
102,2026-01-06 19:29:40.036171233,82,527,271.12,0.488
103,2025-12-05 07:15:50.281930228,82,531,73.92,0.1331
104,2025-11-22 05:45:37.282818476,85,537,21.21,0.0382
105,2025-12-31 13:59:23.464308734,88,556,308.47,0.5552
106,2026-01-24 12:03:57.947779457,88,557,245.55,0.442
107,2026-01-08 11:49:07.743884975,90,576,28.04,0.0505
108,2026-01-21 21:10:26.430372511,91,578,289.81,0.5217
109,2025-11-14 03:45:16.328617958,94,590,510.51,0.9189
110,2025-11-16 03:45:19.721561921,96,596,9.04,0.0163
111,2026-01-27 20:27:04.087969435,97,600,83.67,0.1506
112,2025-12-25 02:24:41.659413825,99,608,304.54,0.5482
113,2026-01-10 16:11:14.798105828,100,614,118.77,0.2138
114,2026-01-05 02:45:34.576205544,101,621,73.9,0.133
115,2025-12-16 19:12:19.288347773,101,623,38.91,0.07
116,2026-01-07 03:45:14.386798126,102,629,83.52,0.1503
117,2026-01-15 22:51:08.627956103,104,641,160.79,0.2894
118,2026-01-08 20:59:44.198768124,108,667,120.93,0.2177
119,2026-01-17 20:52:46.733128505,109,668,552.38,0.9943
120,2025-12-17 07:59:40.886226656,109,669,776.05,1.3969
121,2026-01-27 03:41:34.375353255,110,674,123.93,0.2231
122,2026-01-16 23:14:42.744334701,110,675,129.58,0.2332
123,2026-01-05 14:46:56.314586534,111,680,107.95,0.1943
124,2026-01-11 03:49:47.693652575,111,684,166.21,0.2992
125,2026-01-24 16:46:46.236811556,112,686,330.78,0.5954
126,2025-12-27 03:46:49.033863159,113,697,370.47,0.6668
127,2026-01-23 08:30:17.506652387,114,706,282.47,0.5084
128,2026-01-22 18:13:19.155080547,116,716,1399.86,2.5197
129,2025-11-17 11:20:38.767780359,117,722,14.85,0.0267
130,2025-12-19 10:36:44.142350674,117,723,154.94,0.2789
131,2026-01-19 16:27:27.557429091,120,740,98.68,0.1776
132,2026-01-25 00:04:43.181102570,120,741,231.21,0.4162
133,2025-12-11 17:47:12.163493258,121,749,99.56,0.1792
134,2025-11-19 13:37:30.292384461,122,753,579.3,1.0427
135,2025-12-11 12:31:45.137557172,122,757,228.28,0.4109
136,2025-10-31 17:24:13.760454635,122,759,221.09,0.398
137,2025-12-22 21:27:35.514332005,122,760,410.02,0.738
138,2025-12-13 10:40:27.957917437,123,762,91.68,0.165
139,2026-01-03 14:49:40.703682687,123,765,135.27,0.2435
140,2026-01-26 05:36:54.541562758,124,770,21.19,0.0381
141,2025-12-12 20:16:36.209118242,127,784,113.95,0.2051
142,2025-12-28 13:46:17.353263948,128,788,320.86,0.5775
143,2025-12-09 22:39:01.749433249,128,789,122.39,0.2203
144,2025-11-04 07:57:25.958303823,130,797,231.86,0.4173
145,2025-11-26 20:09:16.688185549,130,798,99.64,0.1794
146,2025-10-15 13:13:18.474751147,132,813,60.47,0.1088
147,2026-01-08 18:02:43.357979136,133,820,111.2,0.2002
148,2026-01-20 14:56:04.920433217,133,821,189.81,0.3417
149,2025-12-07 03:33:22.905008114,135,829,208.47,0.3752
150,2025-10-27 10:39:30.489145043,135,831,1005.14,1.8093
151,2026-01-27 07:53:58.263180505,136,838,55.26,0.0995
152,2026-01-23 22:20:10.292188731,136,840,48.05,0.0865
153,2025-11-06 03:36:52.384479400,140,854,33.79,0.0608
154,2026-01-23 12:00:13.342639651,144,864,416.03,0.7489
155,2025-11-21 02:19:37.924627332,145,867,246.67,0.444
156,2026-01-01 06:59:10.829306822,147,875,606.61,1.0919
157,2025-10-23 03:24:49.916090443,147,876,222.38,0.4003
158,2026-01-05 16:56:48.064901391,148,887,1642.75,2.957
159,2026-01-06 12:05:59.771747203,149,888,280.08,0.5041
160,2025-12-10 21:54:37.096681985,151,902,29.71,0.0535
161,2025-11-24 22:06:35.861837928,152,907,67.72,0.1219
162,2026-01-28 05:02:57.876358225,154,915,175.65,0.3162
163,2026-01-28 04:42:05.553683763,154,918,185.72,0.3343
164,2026-01-28 06:34:11.443900928,154,919,75.89,0.1366
165,2026-01-27 20:57:38.876665330,154,922,355.61,0.6401
166,2026-01-22 07:07:32.486969683,155,923,158.01,0.2844
167,2025-12-09 09:49:35.452416938,156,932,355.94,0.6407
168,2026-01-22 14:17:49.693274871,157,936,417.67,0.7518
169,2026-01-08 10:33:40.206038896,157,938,64.68,0.1164
170,2026-01-13 06:37:59.662351156,159,945,62.72,0.1129
171,2026-01-14 17:14:32.242343347,159,947,15.33,0.0276
172,2025-12-31 07:36:54.009662567,160,958,38.05,0.0685
173,2026-01-23 23:22:14.063890400,161,963,75.27,0.1355
174,2026-01-17 20:01:49.704263787,162,964,726.49,1.3077
175,2026-01-10 04:09:33.012187525,162,965,204.55,0.3682
176,2026-01-13 16:28:14.175648965,163,968,63.32,0.114
177,2026-01-28 10:58:11.235541837,163,969,21.13,0.038
178,2026-01-14 00:06:28.947319329,163,970,109.75,0.1976
179,2026-01-27 15:55:03.220896407,166,983,484.55,0.8722
180,2026-01-10 18:47:33.155652616,166,989,460.71,0.8293
181,2026-01-12 02:45:35.658522540,167,993,1276.75,2.2982
182,2026-01-16 13:26:27.345214285,167,995,95.33,0.1716
183,2026-01-08 21:03:12.544342255,168,996,425.68,0.7662
184,2025-12-04 19:58:08.636011928,168,1000,42.78,0.077
185,2025-12-01 10:19:59.821395090,170,1006,327.54,0.5896
186,2026-01-06 02:11:24.867315029,170,1010,793.8,1.4288
187,2025-10-26 16:02:18.562415383,171,1012,204.27,0.3677
188,2026-01-19 09:01:55.810383478,171,1014,473.89,0.853
189,2026-01-11 01:08:24.944335891,173,1023,12.92,0.0233
190,2026-01-03 01:56:37.166275198,173,1027,159.84,0.2877
191,2026-01-17 17:16:39.122389147,176,1041,31.82,0.0573
192,2026-01-11 20:22:22.525542605,182,1072,818.37,1.4731
193,2025-12-27 22:43:25.330026551,185,1086,326.22,0.5872
194,2026-01-23 21:35:34.906447688,186,1092,287.39,0.5173
195,2026-01-11 16:53:08.516651637,186,1093,56.98,0.1026
196,2026-01-12 22:43:20.944667205,187,1097,106.46,0.1916
197,2026-01-21 13:13:17.604200956,187,1098,117.59,0.2117
198,2026-01-22 20:01:14.311642758,188,1103,225.25,0.4054
199,2026-01-21 21:10:52.891163698,188,1106,133.75,0.2408
200,2026-01-22 14:23:18.750874406,188,1108,85.79,0.1544
201,2025-12-15 12:43:01.178998817,189,1110,197.87,0.3562
202,2026-01-28 22:35:07.883437700,189,1113,87.22,0.157
203,2025-12-01 02:49:51.408951383,189,1115,389.18,0.7005
204,2026-01-13 18:39:37.603244870,190,1119,235.67,0.4242
205,2025-10-22 10:28:41.301368915,191,1122,118.43,0.2132
206,2026-01-15 12:15:37.916891040,191,1127,189.07,0.3403
207,2026-01-11 08:21:44.914364680,192,1128,149.34,0.2688
208,2026-01-16 09:01:03.238664893,192,1129,78.61,0.1415
209,2026-01-13 06:50:11.882387936,192,1134,153.29,0.2759
210,2026-01-21 07:22:24.052240018,194,1143,175.61,0.3161
211,2026-01-26 15:17:34.037192194,195,1149,320.09,0.5762
212,2026-01-27 22:54:08.014976974,196,1152,58.21,0.1048
213,2026-01-24 04:43:18.291699341,196,1157,117.0,0.2106
214,2025-11-16 21:09:21.360056278,200,1170,40.1,0.0722
215,2026-01-17 01:45:13.743726825,200,1172,103.86,0.1869
216,2026-01-24 17:28:53.006359993,202,1179,448.62,0.8075
217,2026-01-06 14:06:53.321827540,203,1182,55.28,0.0995
218,2026-01-27 16:57:19.356108550,205,1195,67.57,0.1216
219,2026-01-28 00:08:07.083358928,205,1196,39.58,0.0712
220,2026-01-27 00:08:57.096607107,205,1197,213.95,0.3851
221,2026-01-25 13:22:25.113616243,205,1201,235.04,0.4231
222,2025-12-26 02:21:06.427028897,206,1204,186.89,0.3364
223,2026-01-01 15:12:10.839216713,206,1209,190.84,0.3435
224,2026-01-07 18:00:15.659234768,209,1218,79.38,0.1429
225,2026-01-11 05:46:56.534057212,209,1220,112.76,0.203
226,2025-12-26 02:49:23.701010184,209,1224,187.03,0.3367
227,2025-11-16 01:55:00.757210931,209,1225,110.34,0.1986
228,2026-01-27 18:51:19.602953034,210,1229,22.7,0.0409
229,2025-12-11 15:18:47.957118953,211,1232,30.47,0.0548
230,2026-01-09 16:23:49.603943154,211,1237,26.75,0.0482
231,2026-01-25 10:15:19.222772481,213,1247,1839.66,3.3114
232,2026-01-28 01:51:37.140332707,213,1248,119.7,0.2155
233,2025-12-18 23:20:32.380364220,214,1255,106.15,0.1911
234,2025-12-27 07:10:09.823432034,214,1257,197.83,0.3561
235,2025-12-13 18:44:22.607431770,215,1260,110.6,0.1991
236,2026-01-01 12:52:01.885044837,216,1264,337.86,0.6081
237,2026-01-17 03:08:58.297684861,217,1266,1118.1,2.0126
238,2026-01-28 06:43:59.718705876,217,1267,208.83,0.3759
239,2026-01-20 14:47:40.955817231,217,1269,254.47,0.458
240,2025-11-29 09:26:03.712442275,218,1272,137.99,0.2484
241,2025-12-27 02:23:53.053296016,218,1275,712.32,1.2822
242,2026-01-01 00:12:33.086625453,220,1283,837.72,1.5079
243,2026-01-15 13:07:40.095987264,220,1286,140.5,0.2529
244,2025-12-03 00:54:09.664227075,220,1288,513.51,0.9243
245,2026-01-19 15:30:50.855565637,221,1293,46.29,0.0833
246,2025-12-25 17:32:38.679248491,222,1298,50.08,0.0901
247,2025-12-28 02:35:00.983162029,222,1300,62.69,0.1128
248,2026-01-28 08:10:09.424085157,222,1302,123.13,0.2216
249,2026-01-01 09:13:36.655310806,222,1304,55.01,0.099
250,2026-01-23 17:03:22.745188169,225,1315,102.62,0.1847
251,2026-01-16 10:49:39.705340760,225,1317,52.82,0.0951
252,2026-01-24 07:28:39.216958935,226,1321,127.32,0.2292
253,2026-01-21 16:35:28.302244931,226,1324,88.85,0.1599
254,2026-01-06 03:20:31.995652150,228,1333,61.26,0.1103
255,2026-01-14 15:12:35.987734466,228,1334,436.45,0.7856
256,2025-12-10 08:11:15.976330543,229,1336,561.14,1.0101
257,2025-12-03 10:01:02.369837852,231,1352,69.17,0.1245
258,2026-01-26 14:04:13.055293199,231,1353,28.07,0.0505
259,2025-12-06 22:39:05.876807377,231,1354,88.09,0.1586
260,2026-01-27 03:25:17.763879621,232,1361,38.65,0.0696
261,2026-01-27 06:48:23.615618948,232,1363,214.76,0.3866
262,2026-01-21 23:21:56.977944481,233,1368,27.57,0.0496
263,2026-01-21 10:22:53.151912953,236,1388,695.53,1.252
264,2026-01-14 15:45:47.445059141,236,1392,281.7,0.5071
265,2026-01-11 12:22:06.106116192,237,1397,239.23,0.4306
266,2025-12-04 11:24:08.954132016,241,1425,198.79,0.3578
267,2025-12-13 02:25:48.569652650,242,1427,77.32,0.1392
268,2026-01-09 06:10:24.132684260,243,1434,1944.4,3.4999
269,2026-01-24 04:58:39.159147813,245,1443,343.59,0.6185
270,2026-01-16 13:58:00.430148953,245,1445,69.69,0.1254
271,2026-01-27 22:54:24.528859973,245,1447,149.85,0.2697
272,2026-01-22 05:29:05.536069973,245,1449,112.69,0.2028
273,2026-01-18 18:00:02.028830617,246,1450,104.62,0.1883
274,2025-11-25 19:08:23.350879861,246,1454,466.69,0.84
275,2026-01-16 11:43:47.441880258,247,1457,95.82,0.1725
276,2026-01-12 17:11:04.972839744,248,1461,144.33,0.2598
277,2025-12-29 02:57:05.698148258,248,1462,163.34,0.294
278,2026-01-20 15:17:22.858495174,248,1464,300.3,0.5405
279,2026-01-09 18:26:23.365507094,248,1466,576.37,1.0375
280,2026-01-18 05:23:39.650295623,248,1469,3.56,0.0064
281,2026-01-22 19:20:31.115673538,249,1475,81.18,0.1461
282,2026-01-28 05:33:14.579861002,250,1484,268.08,0.4825
283,2025-11-07 00:50:38.452690823,251,1491,86.74,0.1561
284,2026-01-12 05:42:57.343676071,253,1499,203.37,0.3661
285,2026-01-25 23:18:22.068881666,255,1506,322.59,0.5807
286,2025-12-13 22:10:00.162413107,255,1507,510.01,0.918
287,2026-01-08 19:19:24.643806323,257,1521,513.44,0.9242
288,2026-01-22 13:11:17.301832436,258,1523,228.72,0.4117
289,2025-12-02 13:27:14.935324473,259,1533,198.41,0.3571
290,2026-01-26 23:15:47.026649108,259,1535,220.89,0.3976
291,2025-12-05 14:11:11.251212964,259,1537,192.79,0.347
292,2026-01-27 03:50:15.401385377,260,1538,146.0,0.2628
293,2025-12-25 02:29:44.507286917,260,1540,39.77,0.0716
294,2025-12-26 07:42:07.763314371,260,1541,181.53,0.3268
295,2026-01-24 11:40:55.809303316,261,1543,75.54,0.136
296,2025-11-01 09:00:35.665282715,261,1544,191.12,0.344
297,2025-10-23 16:39:43.618872442,261,1550,856.0,1.5408
298,2026-01-15 18:50:03.359772807,262,1562,288.76,0.5198
299,2026-01-22 04:43:01.067840819,266,1580,345.39,0.6217
300,2026-01-13 13:07:22.345600689,266,1582,979.3,1.7627
301,2026-01-22 10:00:17.031765005,266,1583,84.67,0.1524
302,2026-01-22 11:05:04.116223880,266,1584,39.11,0.0704
303,2026-01-26 22:53:35.702647451,269,1595,43.0,0.0774
304,2025-12-31 21:54:29.366430740,270,1603,2281.16,4.1061
305,2026-01-22 16:30:36.611305490,271,1607,99.86,0.1797
306,2026-01-22 17:00:17.096203756,271,1608,314.32,0.5658
307,2025-11-03 04:28:54.128501746,272,1616,294.01,0.5292
308,2025-11-19 13:43:23.283146413,272,1618,256.16,0.4611
309,2025-12-08 18:20:27.981253371,273,1623,403.67,0.7266
310,2026-01-08 06:39:58.921945804,274,1630,274.42,0.494
311,2026-01-14 15:28:31.480973252,277,1640,59.2,0.1066
312,2026-01-12 08:22:23.685558566,278,1644,122.45,0.2204
313,2026-01-18 03:11:12.817530359,279,1652,403.5,0.7263
314,2025-11-12 10:50:53.594350533,280,1653,266.1,0.479
315,2025-12-28 03:12:58.410090330,280,1657,112.18,0.2019
316,2026-01-18 22:40:38.325191690,280,1661,26.11,0.047
317,2025-12-02 06:24:36.067279539,281,1668,154.65,0.2784
318,2025-10-11 03:49:19.700139897,282,1672,32.14,0.0579
319,2026-01-11 23:08:10.041957079,282,1673,9.84,0.0177
320,2025-11-04 22:01:35.549290670,282,1674,474.96,0.8549
321,2026-01-16 14:40:51.026606758,283,1677,118.54,0.2134
322,2025-12-06 09:01:25.127519909,284,1681,586.42,1.0556
323,2026-01-06 10:12:02.116515075,285,1691,861.24,1.5502
324,2026-01-11 02:59:11.052334930,285,1696,181.74,0.3271
325,2026-01-04 20:21:13.501298053,285,1697,127.07,0.2287
326,2026-01-01 05:15:52.505556598,285,1699,414.11,0.7454
327,2025-12-19 21:16:52.447391067,286,1703,317.05,0.5707
328,2025-12-19 12:36:45.459339235,287,1705,221.95,0.3995
329,2025-12-24 11:26:30.793693613,287,1709,39.09,0.0704
330,2025-10-21 04:46:26.242739127,294,1745,182.46,0.3284
331,2025-12-22 15:58:34.623116238,294,1753,275.09,0.4952
332,2025-11-21 11:27:28.181934577,295,1756,689.56,1.2412
333,2025-12-24 05:21:10.212130623,295,1761,2919.27,5.2547
334,2025-11-10 18:44:48.242303610,296,1763,147.98,0.2664
335,2026-01-05 09:46:42.456343813,301,1786,91.54,0.1648
336,2025-12-29 13:57:53.984027970,301,1792,80.89,0.1456
337,2026-01-23 09:37:31.482902666,303,1801,92.27,0.1661
338,2026-01-28 05:45:19.310908463,303,1802,216.65,0.39
339,2026-01-28 03:58:50.329901335,303,1803,33.6,0.0605
340,2026-01-21 00:43:01.805317819,303,1804,10.78,0.0194
341,2026-01-21 07:09:36.515999537,303,1807,1570.41,2.8267
342,2025-12-20 19:47:15.502500974,304,1809,184.47,0.332
343,2025-11-05 22:48:02.352723047,304,1812,2025.99,3.6468
344,2026-01-11 08:57:05.878517682,305,1819,9.3,0.0167
345,2025-12-22 04:26:08.606527211,306,1822,197.41,0.3553
346,2026-01-22 07:06:47.940576611,307,1830,73.71,0.1327
347,2026-01-04 01:28:51.733625076,307,1831,159.84,0.2877
348,2025-12-12 06:32:49.480794801,308,1832,352.5,0.6345
349,2025-12-29 08:30:26.601507909,309,1834,139.31,0.2508
350,2026-01-06 22:08:49.743418946,310,1840,126.8,0.2282
351,2025-11-19 08:43:16.518229162,312,1850,68.48,0.1233
352,2026-01-23 14:20:14.335751637,312,1851,128.94,0.2321
353,2025-11-12 20:23:29.630355618,314,1864,150.13,0.2702
354,2026-01-07 04:55:39.319405110,314,1867,80.87,0.1456
355,2026-01-24 12:49:45.593403710,314,1869,23.48,0.0423
356,2025-12-29 02:55:05.334945731,317,1888,283.19,0.5097
357,2025-12-09 05:47:00.574363465,317,1889,520.21,0.9364
358,2025-12-29 17:11:50.919537722,317,1892,245.29,0.4415
359,2026-01-24 02:39:04.235940569,318,1898,83.89,0.151
360,2026-01-13 22:10:33.206875895,318,1900,319.35,0.5748
361,2026-01-02 09:00:50.231567021,319,1906,162.54,0.2926
362,2025-12-19 19:40:22.759607020,321,1916,171.78,0.3092
363,2025-12-27 11:39:35.283878456,321,1917,256.57,0.4618
364,2025-12-07 17:25:23.731882373,322,1919,209.59,0.3773
365,2026-01-04 22:35:56.149078392,322,1925,18.48,0.0333
366,2026-01-28 08:02:49.157316221,323,1931,278.27,0.5009
367,2026-01-20 04:44:41.959433677,323,1936,466.58,0.8398
368,2025-11-29 05:18:28.150139681,324,1939,2146.72,3.8641
369,2025-11-21 16:12:08.923313608,324,1942,71.88,0.1294
370,2025-11-07 05:33:17.051196130,324,1943,69.93,0.1259
371,2025-12-17 11:07:37.685338513,325,1945,53.24,0.0958
372,2025-11-28 10:29:13.953287941,326,1953,186.33,0.3354
373,2025-12-17 10:28:23.400411729,326,1956,86.64,0.156
374,2026-01-13 01:49:10.045083594,328,1968,127.31,0.2292
375,2026-01-24 14:00:57.321524194,329,1972,112.25,0.202
376,2026-01-18 13:10:55.923709330,329,1973,623.54,1.1224
377,2026-01-07 03:20:12.668527816,331,1979,34.92,0.0629
378,2026-01-02 19:44:28.490249552,332,1987,152.96,0.2753
379,2026-01-24 14:19:30.535455724,333,1989,136.38,0.2455
380,2025-12-29 07:48:21.974720663,333,1994,103.21,0.1858
381,2025-12-10 16:37:15.787352671,334,2002,423.41,0.7621
382,2026-01-24 08:35:18.278152905,334,2004,64.04,0.1153
383,2025-11-20 03:08:38.922426335,334,2008,200.89,0.3616
384,2026-01-27 08:55:44.158126595,337,2023,372.19,0.6699
385,2026-01-15 01:03:46.580761861,338,2031,328.43,0.5912
386,2025-12-08 07:21:28.499773353,338,2035,475.72,0.8563
387,2026-01-07 10:23:26.974192434,338,2036,913.7,1.6447
388,2026-01-18 19:02:28.407782845,339,2044,115.87,0.2086
389,2025-12-30 09:45:10.745760811,340,2047,90.39,0.1627
390,2025-10-11 16:55:25.943367639,340,2054,168.02,0.3024
391,2026-01-11 21:44:17.701459536,341,2056,658.39,1.1851
392,2026-01-06 21:21:00.830788637,342,2062,45.13,0.0812
393,2026-01-08 13:29:18.604192413,342,2067,493.47,0.8882
394,2026-01-22 17:56:36.402466669,343,2069,34.64,0.0624
395,2026-01-27 05:48:25.621943801,343,2075,262.96,0.4733
396,2026-01-28 14:09:52.876348266,344,2081,121.14,0.2181
397,2025-12-05 08:57:59.508351236,345,2086,15.87,0.0286
398,2026-01-24 18:20:11.239591192,346,2092,342.02,0.6156
399,2026-01-23 16:38:20.024952238,346,2094,48.96,0.0881
400,2026-01-28 05:37:30.787754365,346,2095,72.55,0.1306
401,2025-11-14 06:50:42.737923182,347,2098,456.82,0.8223
402,2025-12-06 11:26:46.404585892,347,2099,368.13,0.6626
403,2026-01-21 17:22:23.989570072,348,2101,139.72,0.2515
404,2026-01-23 01:51:34.294219569,349,2110,196.06,0.3529
405,2025-11-23 17:53:24.074997871,349,2112,291.82,0.5253
406,2026-01-25 01:56:53.978208527,349,2113,756.84,1.3623
407,2025-12-03 02:00:08.796731019,349,2115,95.32,0.1716
408,2025-12-09 15:57:15.778152136,350,2116,19.17,0.0345
409,2025-11-11 23:56:13.528763158,350,2117,13.29,0.0239
410,2025-12-02 15:07:20.357842734,350,2121,14.13,0.0254
411,2026-01-27 19:24:37.667447893,352,2131,140.2,0.2524
412,2025-11-23 08:59:00.824830120,352,2135,586.79,1.0562
413,2026-01-23 06:49:42.398411044,353,2139,486.73,0.8761
414,2025-11-03 08:10:04.093533816,353,2140,161.78,0.2912
415,2025-11-19 18:14:42.771664528,353,2143,44.38,0.0799
416,2025-12-10 10:02:40.576608573,353,2144,109.7,0.1975
417,2025-12-21 04:57:46.834487496,353,2146,77.26,0.1391
418,2025-10-24 20:03:19.551555612,355,2155,217.16,0.3909
419,2026-01-24 16:17:39.855942818,356,2162,40.76,0.0734
420,2026-01-18 18:39:10.760478883,356,2165,34.13,0.0614
421,2026-01-25 19:25:48.568979002,357,2170,44.47,0.08
422,2026-01-25 21:55:26.807886563,357,2171,916.78,1.6502
423,2025-11-08 19:11:14.228030639,358,2180,16.88,0.0304
424,2026-01-22 10:53:04.313327755,358,2184,79.57,0.1432
425,2025-11-23 13:36:00.490833709,359,2187,113.53,0.2044
426,2025-12-05 22:23:52.771917647,359,2188,640.11,1.1522
427,2026-01-20 18:10:28.789386542,360,2191,48.29,0.0869
428,2025-10-23 23:15:14.979036229,361,2199,114.98,0.207
